Data,Hora,Vaga,Nome da Empresa,Tipo de Trabalho,URL,Cidade,Estado
20/11/2023,12:55,ANALISTA SUPORTE JR,Stefanini Group,Presencial,https://stefanini.gupy.io/job/eyJqb2JJZCI6NTk5OTE0MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Barueri,São Paulo
20/11/2023,12:46,Analista de Abastecimento JR,Dufrio,Presencial,https://dufrio.gupy.io/job/eyJqb2JJZCI6NTgyOTMxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Porto Alegre,Rio Grande do Sul
20/11/2023,12:42,ANALISTA SEGURANÇA PATRIMONIAL JR,EMS,Presencial,https://ems.gupy.io/job/eyJqb2JJZCI6NjAwNDI3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Brasília,Distrito Federal
20/11/2023,12:34,ANALISTA DE PROCESSOS,Fortlev,Presencial,https://fortlev.gupy.io/job/eyJqb2JJZCI6NjAwNTk0Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Serra,Espírito Santo
20/11/2023,12:30,[NEWTON PAIVA] Analista de Marketing Jr.,Newton,Presencial,https://newton-vagas.gupy.io/job/eyJqb2JJZCI6NjAwMTk1Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Belo Horizonte,Minas Gerais
20/11/2023,12:27,Analista Suporte Atendimento Logístico III - Martins Fontes SP,Atento Brasil,Presencial,https://atento.gupy.io/job/eyJqb2JJZCI6NjAwMTY3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/11/2023,11:14,ANALISTA DE TI,Ondas Praia Resort,Presencial,https://ondasresort.gupy.io/job/eyJqb2JJZCI6NTk5MzU3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Porto Seguro,Bahia
20/11/2023,14:44,Assistente Customer Service (Análise de dados),Grupo Elfa,Presencial,https://grupoelfa.gupy.io/job/eyJqb2JJZCI6NTkxMzMwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,São Paulo,São Paulo
20/11/2023,18:25,Analista de E-commerce | Curitiba - PR (Presencial),Agil Recrutamento,Presencial,https://agil.gupy.io/job/eyJqb2JJZCI6NjAwNzU0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Curitiba,Paraná
20/11/2023,18:45,Analista de Cibersegurança (Endpoint Security),ISH Tecnologia,Híbrido,https://ishtecnologia.gupy.io/job/eyJqb2JJZCI6NTk5NTMyMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Vitória,Espírito Santo
20/11/2023,18:42,Analista de Cibersegurança (Endpoint Security),ISH Tecnologia,Híbrido,https://ishtecnologia.gupy.io/job/eyJqb2JJZCI6NTk5NTA5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Vitória,Espírito Santo
20/11/2023,18:25,Analista de Inovação em Saúde,Zitrus Healthtech,Híbrido,https://sejaumzitrino.gupy.io/job/eyJqb2JJZCI6NTk5NTkyOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Joinville,Santa Catarina
20/11/2023,17:26,CAS - Analista de Negócios - Seguros,Sicredi,Híbrido,https://sicredi.gupy.io/job/eyJqb2JJZCI6NjAwNzM2OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Porto Alegre,Rio Grande do Sul
